nimi_suomi,laji,laji_selite
Kirjokiventie,"1",Katu
Kirjurinkatu,"1",Katu
Kirjurintie,"1",Katu
Kirkkoherrantie,"1",Katu
Kirkkokatu,"1",Katu
Kirkkosalmentie,"1",Katu
Kirkonkyläntie,"1",Katu
Kirsitie,"1",Katu
Kirvelikuja,"1",Katu
Kirveskuja,"1",Katu
Kirvesmiehenkatu,"1",Katu
Kirvespolku,"1",Katu
Kirvestie,"1",Katu
Kisatie,"1",Katu
Kiskontie,"1",Katu
Huokotie,"1",Katu
Huopalahdentie,"1",Katu
Huovitie,"1",Katu
Huttumyllyntie,"1",Katu
Huvilakatu,"1",Katu
Hylkeenpyytäjänkatu,"1",Katu
Hyttitie,"1",Katu
Hyttyspolku,"1",Katu
Häklinkuja,"1",Katu
Hällinkuja,"1",Katu
Hämeenapajantie,"1",Katu
Hämeentie,"1",Katu
Hämyläntie,"1",Katu
Härkälahdenkuja,"1",Katu
Härkätie,"1",Katu
Härkävaljakonkuja,"1",Katu
Härkävaljakontie,"1",Katu
Häräntie,"1",Katu
Häyhäntie,"1",Katu
Höyläämötie,"1",Katu
Höökintie,"1",Katu
Ida Aalbergin tie,"1",Katu
Ida Ekmanin tie,"1",Katu
Iestie,"1",Katu
Iiluodontie,"1",Katu
Iiriskuja,"1",Katu
Iitintie,"1",Katu
Iivarintie,"1",Katu
Ilkantie,"1",Katu
Ilmalankatu,"1",Katu
Ilmalankuja,"1",Katu
Ilmarinkatu,"1",Katu
Ilmattarenkuja,"1",Katu
Ilmattarentie,"1",Katu
Ilomäenpolku,"1",Katu
Ilomäentie,"1",Katu
Ilotulitustie,"1",Katu
Iltaruskontie,"1",Katu
Iltatähdenkuja,"1",Katu
Iltatähdentie,"1",Katu
Ilvestie,"1",Katu
Imarretie,"1",Katu
Immolanhaara,"1",Katu
Immolankuja,"1",Katu
Immolantie,"1",Katu
Impivaarantie,"1",Katu
Inarintie,"1",Katu
Ingeborginkuja,"1",Katu
